Aggregation Level,Data item,Unit,Pathway,Fuel,Peak/ Annual/ Minimum,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,GBFES System Demand: Total,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],286780.0,289650.0,293394.0,297512.0,303083.0,311611.0,321544.0,334918.0,346651.0,371848.0,392387.0,421516.0,464347.0,502185.0,522729.0,545247.0,572262.0,594439.0,629181.0,658165.0,691892.0,720585.0,732957.0,748081.0,770705.0,778236.0,795993.0,797120.0
1,GBFES System Demand: Total,GWh,Electric Engagement,Electricity,Annual [Fiscal],286780.0,289650.0,291698.0,296073.0,303668.0,314313.0,328975.0,344803.0,362869.0,382238.0,402822.0,425413.0,450076.0,483247.0,525964.0,558403.0,585948.0,616965.0,644531.0,672190.0,694708.0,709671.0,724440.0,737930.0,752313.0,766439.0,776227.0,784736.0
1,GBFES System Demand: Total,GWh,Falling Behind,Electricity,Annual [Fiscal],286780.0,289650.0,295231.0,298512.0,302725.0,308325.0,316344.0,323698.0,332351.0,341738.0,351742.0,362296.0,372906.0,384269.0,396144.0,407229.0,419392.0,433613.0,450011.0,464557.0,477519.0,490691.0,504316.0,516137.0,526834.0,537853.0,548276.0,558750.0
1,GBFES System Demand: Total,GWh,Holistic Transition,Electricity,Annual [Fiscal],286780.0,289650.0,290891.0,294991.0,302613.0,314320.0,326293.0,339295.0,355884.0,373666.0,392593.0,411573.0,433422.0,461449.0,488675.0,513806.0,536367.0,563928.0,582761.0,602352.0,621073.0,635458.0,654296.0,670284.0,681236.0,691034.0,700725.0,705223.0
1,GBFES System Demand: Total,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],286780.0,289650.0,292075.0,295108.0,300224.0,308605.0,320241.0,330877.0,343650.0,358686.0,373643.0,385686.0,396764.0,,,,,,,,,,,,,,,
2,GBFES Customer Demand: Residential,GWh,Hydrogen Evolution,Electricity,Annual [Fiscal],102291.925,99753.319,98963.227,99128.878,100038.552,101752.494,104563.729,108179.198,112783.264,117734.972,123272.76,129024.43,134360.654,142302.038,149489.029,155883.755,161499.921,167276.274,172287.089,176748.221,181138.566,186130.524,190262.2,193818.651,197026.409,199854.023,202328.358,204983.194
2,GBFES Customer Demand: Residential,GWh,Electric Engagement,Electricity,Annual [Fiscal],102291.925,99753.319,98610.323,98804.92,99761.403,101546.998,104449.023,108163.231,112995.752,118401.73,124577.473,130757.42,136577.331,147102.032,156812.181,165634.129,173474.938,181304.216,188429.589,196029.314,202788.893,208861.628,214314.089,218798.61,222857.95,226195.821,229401.178,232729.767
2,GBFES Customer Demand: Residential,GWh,Falling Behind,Electricity,Annual [Fiscal],102291.925,99753.319,100014.968,100023.401,100555.14,101839.032,103961.195,105871.342,108271.346,111128.431,114336.618,117687.684,121138.872,125118.128,129092.859,133002.238,136852.556,141913.829,149495.163,156372.148,161913.183,166442.276,170336.979,173823.551,176491.497,179110.192,181787.724,184625.665
2,GBFES Customer Demand: Residential,GWh,Holistic Transition,Electricity,Annual [Fiscal],102291.925,99753.319,97776.694,97599.888,98191.012,99682.3,102317.011,105491.818,110054.279,115321.799,121395.794,127523.21,133491.415,142312.729,150451.375,157759.193,164128.149,170590.997,176580.767,182199.741,186683.704,190703.514,194168.388,196554.685,198648.864,200219.674,201639.076,202975.387
2,GBFES Customer Demand: Residential,GWh,Ten Year Forecast,Electricity,Annual [Fiscal],102291.925,99753.319,98905.846,98871.43,99473.298,100848.517,103155.839,105608.203,108547.306,111609.727,114949.724,118271.389,121613.141,,,,,,,,,,,,,,,
