Connection,Pathway,Variable,Category,Type,SubType,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Distributed,Falling Behind,Capacity (MW),Base Load,Biomass,Biomass,763.817,771.4552,777.2411,781.1273,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801,783.0801
Distributed,Falling Behind,Capacity (MW),Base Load,Biomass,Biomass CHP,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35,34.35
Distributed,Falling Behind,Capacity (MW),Base Load,Waste,Waste,2875.668,2912.067,2913.576,2911.574,2907.615,2887.262,2854.411,2813.762,2760.632,2697.212,2638.312,2604.733,2527.776,2439.243,2392.457,2340.99,2292.489,2253.056,2191.358,2128.035,2050.974,2007.409,1950.582,1881.452,1813.761,1732.108,1639.928
Distributed,Falling Behind,Capacity (MW),Base Load,Waste,Waste CHP,263.6981,325.8381,381.9579,432.6175,478.909,521.5113,556.6816,585.9229,605.822,626.4271,652.4082,676.4382,696.8829,716.1351,735.3981,733.7451,732.7309,732.5742,731.65,730.0695,726.7265,721.7923,717.4518,713.3664,710.2583,708.5365,707.2117
Distributed,Falling Behind,Capacity (MW),Dispatchable,Gas,CCGT,1820.32,1706.788,1717.232,1674.632,1685.076,1642.476,1599.876,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92,1652.92
Distributed,Falling Behind,Capacity (MW),Dispatchable,Gas,Gas CHP,1781.395,1807.805,1817.825,1827.846,1827.866,1822.144,1816.148,1809.851,1803.222,1796.223,1788.812,1780.936,1772.533,1763.529,1753.831,1743.323,1731.857,1719.244,1705.226,1689.454,1671.425,1650.389,1625.141,1593.576,1551.483,1488.333,1362.012
Distributed,Falling Behind,Capacity (MW),Dispatchable,Gas,Gas Reciprocating Engines,2544.465,2778.833,3098.399,3408.239,3714.98,4012.179,4280.52,4511.375,4687.825,4718.073,4688.342,4587.657,4423.994,4317.624,4257.72,4201.567,4178.752,4140.557,4085.417,4011.439,3971.817,3892.047,3832.574,3769.135,3692.459,3629.66,3597.41
Distributed,Falling Behind,Capacity (MW),Dispatchable,Other Thermal,Diesel,1305.32,1268.669,1199.13,1078.541,894.0179,636.0295,426.4326,260.5124,148.5998,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distributed,Falling Behind,Capacity (MW),Renewable,Hydro,Hydro,324.267,325.1922,326.086,326.9504,327.7875,328.5988,329.3858,330.1501,330.8928,331.6151,332.3182,333.0031,333.6705,334.3216,334.9569,335.5772,336.1833,336.7758,337.3553,337.9223,338.4774,339.021,339.5536,340.0757,340.5876,341.0898,341.5826
Distributed,Falling Behind,Capacity (MW),Renewable,Offshore Wind,Offshore Wind,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2,681.2
