Simulation Name,Spotlight year,Historical weather year,Weather-conditional LOLE (h/year),Weather-conditional EEU (MWh/year)
Portfolio 1,2030/31,1984/85,3.97,34200
Portfolio 1,2030/31,1985/86,4.98,38020
Portfolio 1,2030/31,1986/87,0,0
Portfolio 1,2030/31,1987/88,0,0
Portfolio 1,2030/31,1988/89,0,0
Portfolio 1,2030/31,1989/90,0,0
Portfolio 1,2030/31,1990/91,0,0
Portfolio 1,2030/31,1991/92,0,0
Portfolio 1,2030/31,1992/93,0,0
Portfolio 1,2030/31,1993/94,0,0
Portfolio 1,2030/31,1994/95,0,0
Portfolio 1,2030/31,1995/96,0,0
Portfolio 1,2030/31,1996/97,0.01,50
Portfolio 1,2030/31,1997/98,0,0
Portfolio 1,2030/31,1998/99,0,0
Portfolio 1,2030/31,1999/2000,0,0
Portfolio 1,2030/31,2000/01,0,0
Portfolio 1,2030/31,2001/02,0,0
Portfolio 1,2030/31,2002/03,0,0
Portfolio 1,2030/31,2003/04,0,0
Portfolio 1,2030/31,2004/05,0,0
Portfolio 1,2030/31,2005/06,0,0
Portfolio 1,2030/31,2006/07,0,0
Portfolio 1,2030/31,2007/08,0,0
Portfolio 1,2030/31,2008/09,0,0
Portfolio 1,2030/31,2009/10,0,0
Portfolio 1,2030/31,2010/11,0,0
Portfolio 1,2030/31,2011/12,0.04,150
Portfolio 1,2030/31,2012/13,0,0
Portfolio 1,2030/31,2013/14,0,0
Portfolio 1,2030/31,2014/15,0,0
Portfolio 1,2030/31,2015/16,0,0
Portfolio 1,2030/31,2016/17,0,0
Portfolio 1,2030/31,2017/18,0,0
Portfolio 1,2035/36,1984/85,1.52,9450
Portfolio 1,2035/36,1985/86,6.23,47100
Portfolio 1,2035/36,1986/87,0,0
Portfolio 1,2035/36,1987/88,0,0
Portfolio 1,2035/36,1988/89,0,0
Portfolio 1,2035/36,1989/90,0,0
Portfolio 1,2035/36,1990/91,0,0
Portfolio 1,2035/36,1991/92,0,0
Portfolio 1,2035/36,1992/93,0,0
Portfolio 1,2035/36,1993/94,0,0
Portfolio 1,2035/36,1994/95,0,0
Portfolio 1,2035/36,1995/96,0,0
Portfolio 1,2035/36,1996/97,0,0
Portfolio 1,2035/36,1997/98,0,0
Portfolio 1,2035/36,1998/99,0,0
Portfolio 1,2035/36,1999/2000,0,0
Portfolio 1,2035/36,2000/01,0.1,440
Portfolio 1,2035/36,2001/02,0,0
Portfolio 1,2035/36,2002/03,0,0
Portfolio 1,2035/36,2003/04,0,0
Portfolio 1,2035/36,2004/05,0,0
Portfolio 1,2035/36,2005/06,0,0
Portfolio 1,2035/36,2006/07,0,0
Portfolio 1,2035/36,2007/08,0,0
Portfolio 1,2035/36,2008/09,0,0
Portfolio 1,2035/36,2009/10,0,0
Portfolio 1,2035/36,2010/11,0,0
Portfolio 1,2035/36,2011/12,0,0
Portfolio 1,2035/36,2012/13,0,0
Portfolio 1,2035/36,2013/14,0,0
Portfolio 1,2035/36,2014/15,0,0
Portfolio 1,2035/36,2015/16,0,0
Portfolio 1,2035/36,2016/17,0,0
Portfolio 1,2035/36,2017/18,0,0
Portfolio 1,2040/41,1984/85,0.36,2440
Portfolio 1,2040/41,1985/86,5.63,57040
Portfolio 1,2040/41,1986/87,0,0
Portfolio 1,2040/41,1987/88,0,0
Portfolio 1,2040/41,1988/89,0,0
Portfolio 1,2040/41,1989/90,0,0
Portfolio 1,2040/41,1990/91,0,0
Portfolio 1,2040/41,1991/92,0,0
Portfolio 1,2040/41,1992/93,0,0
Portfolio 1,2040/41,1993/94,0,0
Portfolio 1,2040/41,1994/95,0,0
Portfolio 1,2040/41,1995/96,0,0
Portfolio 1,2040/41,1996/97,0,0
Portfolio 1,2040/41,1997/98,0,0
Portfolio 1,2040/41,1998/99,0,0
Portfolio 1,2040/41,1999/2000,0,0
Portfolio 1,2040/41,2000/01,0.06,450
Portfolio 1,2040/41,2001/02,0,0
Portfolio 1,2040/41,2002/03,0,0
Portfolio 1,2040/41,2003/04,0,0
Portfolio 1,2040/41,2004/05,0,0
Portfolio 1,2040/41,2005/06,0.07,800
Portfolio 1,2040/41,2006/07,0,0
Portfolio 1,2040/41,2007/08,0,0
Portfolio 1,2040/41,2008/09,0,0
Portfolio 1,2040/41,2009/10,0,0
Portfolio 1,2040/41,2010/11,0,0
Portfolio 1,2040/41,2011/12,0,0
Portfolio 1,2040/41,2012/13,0,0
Portfolio 1,2040/41,2013/14,0,0
Portfolio 1,2040/41,2014/15,0,0
Portfolio 1,2040/41,2015/16,0,0
Portfolio 1,2040/41,2016/17,0,0
Portfolio 1,2040/41,2017/18,0,0
Portfolio 2,2030/31,1984/85,4.09,35350
Portfolio 2,2030/31,1985/86,4.82,36880
Portfolio 2,2030/31,1986/87,0,0
Portfolio 2,2030/31,1987/88,0,0
Portfolio 2,2030/31,1988/89,0,0
Portfolio 2,2030/31,1989/90,0,0
Portfolio 2,2030/31,1990/91,0,0
Portfolio 2,2030/31,1991/92,0,0
Portfolio 2,2030/31,1992/93,0,0
Portfolio 2,2030/31,1993/94,0,0
Portfolio 2,2030/31,1994/95,0,0
Portfolio 2,2030/31,1995/96,0,0
Portfolio 2,2030/31,1996/97,0.02,90
Portfolio 2,2030/31,1997/98,0,0
Portfolio 2,2030/31,1998/99,0,0
Portfolio 2,2030/31,1999/2000,0,0
Portfolio 2,2030/31,2000/01,0,0
Portfolio 2,2030/31,2001/02,0,0
Portfolio 2,2030/31,2002/03,0,0
Portfolio 2,2030/31,2003/04,0,0
Portfolio 2,2030/31,2004/05,0,0
Portfolio 2,2030/31,2005/06,0,0
Portfolio 2,2030/31,2006/07,0,0
Portfolio 2,2030/31,2007/08,0,0
Portfolio 2,2030/31,2008/09,0,0
Portfolio 2,2030/31,2009/10,0,0
Portfolio 2,2030/31,2010/11,0,0
Portfolio 2,2030/31,2011/12,0.05,170
Portfolio 2,2030/31,2012/13,0,0
Portfolio 2,2030/31,2013/14,0,0
Portfolio 2,2030/31,2014/15,0,0
Portfolio 2,2030/31,2015/16,0,0
Portfolio 2,2030/31,2016/17,0,0
Portfolio 2,2030/31,2017/18,0,0
Portfolio 2,2035/36,1984/85,0.81,5450
Portfolio 2,2035/36,1985/86,5.41,49030
Portfolio 2,2035/36,1986/87,0,0
Portfolio 2,2035/36,1987/88,0,0
Portfolio 2,2035/36,1988/89,0,0
